game_name,cpu,ram,gpu,storage,os
Orten Was The Case,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,3 GB,TBA
Bloxi,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,200 MB,Ubuntu 12.04 LTS
Fly Dangerous,Intel Core i5 750S,4 GB,AMD Radeon HD 5450,2 GB,"SteamOS, Ubuntu 18.04+, and CentOS 7"
DIM-EGION,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,700 MB,Windows 10 64-bit
MyJapaneseTeacher,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,3 GB,Windows 7
Pine Hearts,Intel Pentium 4 2.00GHz,8 GB,NVIDIA GeForce 7100 / nForce 630i,5 GB,Windows 7
The Vellescian Gambit,Intel Atom Z515,256 MB,ATI FireGL T2-128,250 MB,Windows XP or later
虚幻小镇的蔷薇,Intel Core 2 Quad Q9705,4 GB,AMD Radeon HD 7770,1 GB,Windows 7 64-bit or newer
Gobby McGobblenutz Presents: The Art of the Dad Joke: Chapter 1,Intel Pentium III 1400 @ 1400MHz,4 GB,ATI FireGL T2-128,700 MB,Windows 98/XP/Vista/7/8/10
Crazy Athletics - Summer Sports & Games,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,1 GB,Ubuntu 19
The Tombs of Ultra 5,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 510,100 MB,"Windows 7 (SP1+), Windows 10 and Windows 11, 64-bit versions only."
Dream Kitchen,Intel Atom Z510,1 GB,ATI FireGL T2-128,1 GB,Windows XP or newer
Saint Maker - Horror Visual Novel,Intel Core 2 Duo Q6867,3 GB,NVIDIA GeForce GTX 260,5 GB,Windows XP/Vista/7/8/10
Inverse Evolver,Intel Core 2 Duo E6320,4 GB,NVIDIA GeForce 7600 GS,1 GB,Windows 7
Pork Chop Island,Intel Core i5-3570K,8 GB,NVIDIA GeForce GTX 1050 Ti,,Windows 7
Wedgie Simulator,Intel Core i5 750S,4 GB,ATI FireGL T2-128,1 GB,Windows 7
VALKYRIE PROFILE Niffynee,AMD Ryzen 5 5600X,1 GB,NVIDIA GeForce GTX 1050 Ti,500 MB,windows7~10
Dragon Island,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,1 GB,Windows XP
Sixteen,Intel Core 2 Duo Q6867,8 GB,NVIDIA GeForce 7100 / nForce 630i,1 GB,Windows 10 64-bit (1703+)
Comixxx Strip,Intel Pentium 4 2.00GHz,4 GB,Intel HD 4600,300 MB,Windows 7 and above
BounceShot,Intel Core 2 Duo Q6867,4 GB,ATI FireGL V7350,1 GB,"Windows 7 (SP1+), Windows 10 and Windows 11"
Nonno Lorenzo,Intel Core i5-4400E,3.91 GB,NVIDIA GeForce GTX 660,1 GB,Ubuntu 18.04+
Deer & Boy,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,
When The River Runs Dry,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,4 GB,Windows 7 SP1+ x64
Fantasy Sliding Puzzle 5,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,,Windows XP/Vista/7/8
Deadnaut: Signal Lost,Intel Core 2 Quad Q9705,8 GB,NVIDIA GeForce GTX 950,250 MB,Windows 7 SP1 or later
Fallen Guns,Intel Core 2 Duo Q6867,4 MB,AMD Radeon R7 370,50 MB,Windows 7 or superior
Escape From The BadTrip Episode 1,Intel Core i5-7400,12 GB,NVIDIA GeForce GTX 1050,30 GB,Windows
Solaris Rift,Intel Core i5-6600K,4 GB,NVIDIA GeForce GTX 760,715 MB,Windows 10
Bolt Action,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,100 MB,Windows
Tobin's Tale,Intel Core 2 Quad Q9705,4 GB,NVIDIA GeForce GTX 470,2 GB,Windows 7/8.1/10 64-bit
Hero King Quest: Peacemaker Prologue,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,512 MB,Windows® 8.1/10 (64bit)
Monastery Builder,Intel Core 2 Quad Q9705,8 GB,AMD Radeon RX 480,10 GB,Windows 10
戦国の木こり,Intel Atom Z510,2 GB,ATI FireGL T2-128,30 MB,Windows 10
Girl of Fighting Nations,Intel Core i3-2340UE,1 GB,NVIDIA GeForce 510,200 MB,Windows 7/8/10
Jump Movement,Intel Core i3-2340UE,1 GB,AMD Radeon R9 270,150 MB,Windows 7
Kill The Monster Z,Intel Pentium E2180,1 GB,NVIDIA GeForce 7600 GT,200 MB,"Windows 7, 8, 8.1, 10 x64"
Superheroes Academy,Intel Core 2 Duo E8700,4 GB,NVIDIA GeForce GTX 760,14 GB,Requires a 64-bit processor and operating system
Reborn Tribe,Intel Core 2 Duo E6750,1 GB,ATI Radeon HD 5770,1 GB,Windows XP/Vista/7/8/8.1/10 x86 and x64
Drone Crash Course,Intel Core 2 Duo Q6867,1 GB,Intel Media Accelerator 500,20 MB,"Windows XP, 7, Vista, 8, 8.1, 10"
Plinko Panic!,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 510,,
Faded Memories: Video Game Edition,Intel Core i3-2340UE,3 GB,NVIDIA GeForce 7200 GS,900 MB,
TitTok Girls,Intel Pentium 4 1.50GHz,2 GB,NVIDIA GeForce 256,350 MB,"Windows 7, 10, 11"
末日纷争Doomsday Dispute,Intel Atom Z510,2 GB,ATI FireGL T2-128,2 GB,Windows 7/Windows 10
Puzzlezon,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,80 MB,7 +
Freedom Flight,Intel Pentium 4 4.00GHz,7.81 GB,NVIDIA GeForce GTX 1070,,Windows 10 64-bit
Dark City: Paris Collector's Edition,Intel Pentium 4 1.80GHz,1 GB,NVIDIA GeForce 510,1.16 GB,Windows 7/Windows 8/Windows 10
Snow Scout,Intel Core i5-4400E,8 GB,AMD Radeon RX 580,12 GB,Windows 10
Ghoul Castle 3D: Gold Edition,Intel Pentium 4 2.00GHz,2 GB,AMD Radeon HD 7870,1 GB,Windows 7+
World Tree,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 6250,1 GB,Microsoft® Windows® 7/8/8.1/10 (32bit/64bit)
She Hates Unicorns,Intel Pentium 4 2.00GHz,4 GB,AMD Radeon R9 270,4 GB,"Windows 7 SP1, Windows 8.1, Windows 10"
Falconet,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,
I Told You So!,Intel Pentium 4 1.80GHz,2 GB,NVIDIA GeForce GTX 1080,2 GB,Linux
Tear of Time: Lost memory,Intel Pentium 4 2.00GHz,8 GB,NVIDIA GeForce GTX 760,6 GB,7
The Knight of Turn,Intel Core i3-2340UE,2 GB,ATI FireGL T2-128,40 MB,Windows 7
CALL OF DOOM,Intel Core 2 Duo E8400,2 GB,NVIDIA GeForce GT 430,2 GB,Windows 7 32 bit
SEARCH ALL - CANDY,Intel Core 2 Duo Q6867,2 GB,Intel HD 4000,99 MB,"Windows 7, 8, 10, 11"
Late For Class,Intel Core i3-540,4 GB,AMD Radeon HD 7870,10 GB,Windows 7
Mysterious Night (The First Night),Intel Pentium 4 4.00GHz,4 GB,Intel HD Graphics 620,500 MB,Windows 7 / 8.1 / 10
Destiny’s Plan,Intel Pentium 4 1.50GHz,512 MB,ATI FireGL T2-128,3 GB,Linux
Nailed It,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 970,,"Windows 7, 8.1, 10"
The Thorn of Warldia,Intel 1500,512 MB,NVIDIA GeForce GTX 660 Ti,100 MB,"Windows 7, 8, 8.1, 10"
Blasting Courier,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL V7350,500 MB,Windows 7
A Hot Springs Vacation with my Married Office Lady Superior,Intel Core 2 Duo E8400,1 GB,NVIDIA GeForce 510,700 MB,Windows 10
Jump10000,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,90 MB,Windows 10
Space Rocks Blaster,Intel Core 2 Duo Q6867,1 GB,ATI FireGL T2-128,10 MB,Windows 7/8/10
Office No.41,Intel Core i3-2340UE,8 GB,NVIDIA GeForce GTX 460,4 GB,"Windows 7,8 64-bit"
SPOOKWARE: Watch Party,Intel Core i3-2100,4 GB,AMD Radeon R7 250,2 GB,Windows 7 64-bit
Сhick Boy Adventures,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce GT 1030,50 MB,Windows XP\Vista\7\8\10
Megacraft Hentai Apocalipsis,Intel Core i5-2300,2 GB,AMD Radeon HD 7870,2 GB,Windows 7 / 8 / 8.1 / 10
Trauma - Visual Novel,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,2 GB,Microsoft® Windows® 7/8/8.1/10
The Hungry One,Intel Core 2 Duo E8400,1 GB,NVIDIA GeForce 510,200 MB,"Windows 7, 8, 10, 11"
Grid Miner,Intel Core 2 Duo E8400,2 GB,NVIDIA GeForce 7100 / nForce 630i,200 MB,Windows 7 SP1+
Lust&Magic -Chisalla in a Flower Basket-,Intel Pentium 4 2.00GHz,4 GB,AMD Radeon HD 6250,1 GB,7 / 8 / 8.1 / 10
The Last Cell,Intel Core i5-6400,4 GB,NVIDIA GeForce GT 730,2 GB,Windows 10
BINGIMAN: Trap Ochido,Intel Core i5-4400E,4 GB,NVIDIA GeForce 510,2 GB,10
Orcs Maker,Intel Core i7-950,1.95 GB,NVIDIA GeForce GTX 750,1 GB,Window7、10、11
UNDEMON,Intel Core 2 Duo U7600,2 GB,AMD Radeon HD 6250,1 GB,Windows 7
Ball Gun Arena,Intel Core i5 750S,4 GB,NVIDIA GeForce 510,1 GB,Windows 64 bit
SteelPinion,Intel Core 2 Duo E8400,6 GB,NVIDIA GeForce 510,,
The Forest Prison,Intel Core i5-2400,8 GB,AMD Radeon R9 270,25 GB,Windows 7
Noelle Does Her Best!,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 6250,1 GB,Windows® 7/8/8.1/10
Unnatural : Land Of Dead,Intel Core i3-540,4 GB,NVIDIA GeForce GTX 460,10 GB,Windows 10 64 bit
蛛火Spider fire,Intel Core i5-4400E,1 GB,NVIDIA GeForce 510,1 GB,"windows7，windows8,windows10"
ONNANOKO KEEPER 3,Intel Pentium 4 2.00GHz,4 GB,ATI Radeon HD 5750,600 MB,Microsoft® Windows® 8.1 / 10 (64-bit)
DELIRIA,Intel Core 2 Duo E6750,4 GB,NVIDIA GeForce 8800 GT,1.46 GB,Windows 7
Living Art,Intel Core 2 Duo Q6867,4 GB,AMD Radeon R9 280,1 GB,Windows 7 (SP1+)
战棋三国·英雄,Intel Core i3-2340UE,4 GB,NVIDIA GeForce GTX 650,1 GB,Windows7
The Oath of the Dark Magic Queen,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 510,900 MB,Windows 7 and above
Intense Love Shot,Intel Core 2 Duo Q6867,2 MB,ATI FireGL T2-128,600 MB,Windows XP/Vista/7/8
SunnySide,Intel Core i5-2300,8 GB,AMD Radeon RX 580,,10
Hyde's Haunt & Seek,Intel Pentium 4 2.00GHz,8 GB,NVIDIA GeForce 7100 / nForce 630i,2 GB,"Windows 7 (SP1+), Windows 10 or Windows 11"
ChessCraft,Intel Core i3-330E,512 MB,Intel HD 3000,80 MB,Windows 7 or newer
How to say Goodbye,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 7100 / nForce 630i,1000 MB,Windows 7 SP1+
MONSTER X,Intel Core i5-3210M,8 GB,NVIDIA GeForce GT 645M,1 GB,Windows 7
The Elevator Game with Catgirls,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce GTX 1080,600 MB,Windows 7 64 bit and up
Au-Delà,Intel Core i5-4200U,1 GB,NVIDIA GeForce 510,2.15 GB,Windows 10
Monster Bash HD,Intel Core Duo U2500,512 MB,ATI FireGL T2-128,250 MB,"Window 7, Windows 10"
Pumpkin Eater,Intel Atom Z510,512 MB,NVIDIA GeForce 510,160 MB,Ubuntu / SteamOS
Laypo Country Simulator,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,100 MB,"Windows 7,8,8.1,10 64-bit"
FirePuzzle - Save the House,Intel Celeron,1 GB,Intel Media Accelerator 500,190 MB,Windows 7
Snake Force,Intel Pentium 4 1.70GHz,2 GB,NVIDIA GeForce GTX 950,2 GB,Windows 10
Eternal Starlight VR Demo,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 980,3 GB,Windows 10
Otherwar,Intel Core i5-3470,2 GB,NVIDIA GeForce GTX 660,200 MB,Windows 7
Bio Bots,Intel Core 2 Duo Q6867,8 GB,NVIDIA GeForce 7100 / nForce 630i,700 MB,Windows 7 SP1+
Girls Shop,Intel Core i5-4400E,4 GB,ATI FireGL T2-128,1 GB,Windows 7 SP1 64-bit or Windows 8.1 64-bit or Windows 10 64-bit
Super Grappling Gecko,Intel Core 2 Duo E4500,4 GB,AMD Radeon HD 6570,40 MB,Windows 7
地罰上らば竜の降る／Rise of Rebellion,Intel Core i5-650,8 GB,ATI FireGL T2-128,5 GB,Windows 10 (64-bit)
REIGN OVER,Intel Pentium 4 2.00GHz,256 MB,ATI FireMV 2200 PCIe,100 MB,Windows 7
Pump King,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,70 MB,Windows 10
Deborg Desolation Pre-Born,Intel Core i3-2340UE,4 GB,NVIDIA GeForce GT 710,2 GB,Windows 7
Yes My Lord,Intel Pentium 4 2.00GHz,4 GB,AMD Radeon HD 6250,1 GB,7 / 8 / 8.1 / 10
Horror of Minos,Intel Celeron,2 GB,ATI FireGL T2-128,4 GB,"Ubuntu 12.04 LTS, Mint 13 LTS, Fedora 16, fully updated"
Slide Furry,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 510,500 MB,Windows XP/Vista/7/8/10
Futanari Jigsaw Puzzle,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 510,500 MB,Windows 7
Hell Boba Café,Intel Core i7-610,1 GB,Intel Media Accelerator 500,4 GB,Windows 10
Take Over Body,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 470,5 GB,Windows 7 or better
Being Ball,Intel Core i5-4400E,1 GB,NVIDIA GeForce 7200 GS,2 GB,Windows 7 (SP1+) 64-bit
The Ball Flow - First Approach,Intel Core i5-4400E,2 GB,NVIDIA GeForce GTX 1050,1 GB,Window 10 64bit
Tarot: Theo's Quest,Intel Core 2 Duo E4500,2 GB,AMD Radeon X1300,300 MB,"Windows 7, 8.1, 10 x64"
accelerating hotkeys,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7100 / nForce 630i,150 MB,Ubuntu 16.04+
疯狂的球(Crazy Ball),Intel Pentium 4 2.20GHz,2 GB,NVIDIA GeForce GT 720M,2 GB,Windows 7 / Windows 8 / Windows 10 64 bit
Philosopher's Stone and Minerva,Intel Core 2 Duo Q6867,2 MB,ATI FireGL T2-128,500 MB,Windows® 7/8/8.1/10 (32bit/64bit)
For The Battle,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 7100 / nForce 630i,250 MB,Windows 7 Or Later
True Detective Solitaire 2,Intel 1500,512 MB,NVIDIA GeForce 510,53 MB,Windows XP SP3 or later
Persian Empire Builder,Intel Core i3-530,4 GB,NVIDIA GeForce GTX 770,20 GB,Windows 8.1x64 / Windows 10x64
Revenge on the Streets 3,Intel Core i3-6100,2 GB,NVIDIA GeForce GTX 750 Ti,300 MB,Windows 7/10
The Cult of Chanseville,AMD FX-6300,4 GB,NVIDIA GeForce GTX 1050,25 GB,"windows 7, 10"
Release The Bride,Intel Core i3-2100,4 GB,NVIDIA GeForce GTS 450,,Window 10
PABG: PLAYER ANIME BATTLEGROUNDS,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,3 GB,Windows 7 or later
Mandala,Intel Core i5-4400E,2 GB,NVIDIA GeForce GTX 650,300 MB,"Windows 7, 8.1, 10 x64"
RISING BONEvR,AMD Ryzen 5 1600,5.86 GB,NVIDIA GeForce GTX 1060,2 GB,Windows 10
Robin Hood: Spring of Life,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7200 GS,400 MB,Windows 7 or later
Apollo Red Moon,Intel Core i3-4130,8 GB,AMD Radeon R7 260X,25 GB,Windows® 10
Venatio,Intel Core i5-4400E,4 GB,AMD Radeon HD 5450,5 GB,Windows 10 - x64
Galactic Merchant,Intel Core i3-2340UE,1 GB,NVIDIA GeForce GTX 1050,5 GB,Windows 7
頭痛,Intel Core i7-9750H,6 GB,NVIDIA GeForce GTX 1650,2 GB,Windows 10 (64-bit OS required)
Hidden Ghost Town,Intel Core 2 Duo Q6867,1 GB,AMD Radeon Pro 450,8 GB,Ubuntu 32-bit 12.04+
The Wolf Is Dead,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce GT 530,,Windows 7 (64 bit)
Element Quest,AMD Athlon 64 FX-34,3 GB,NVIDIA GeForce 8600 GT,1 GB,Ubuntu 16.04+
Laserboy,Intel Core i5-4400E,4 GB,ATI Radeon HD 5750,400 MB,Ubuntu 12.04
Ducky,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,40 MB,"Windows 10, Windows 8.1, Windows 8, Windows 7"
Universe 51: Tannhäuser Wars,Intel Core i3-10100F,8 GB,AMD Radeon RX 460,20 GB,Windows 7
Bing in Wonderland,Intel Pentium E2180,2 GB,Intel HD 4400,500 MB,Windows 10
Retro Golden Age - Livingstone I Presume,Intel Pentium 4 1.50GHz,4 GB,ATI FireGL T2-128,1 GB,Windows 7
QuestNotes,Intel Atom Z510,1 GB,ATI FireGL T2-128,1 GB,"Windows10, 11"
Welcome Home,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows 10
Linares: Bullet Fever,Intel Core 2 Duo Q6867,4 GB,AMD Radeon R9 270X,700 MB,Windows 7 (64 bit) or Newer (64 bit) Windows OS
Instinction,Intel Core i3-3220,8 GB,AMD Radeon HD 7770,45 GB,Windows 7 64 bit
KUUKIYOMI: Consider It! ONLINE,Intel Core 2 Duo Q6867,8 GB,AMD Radeon HD 5450,500 MB,Windows 8 or later
Dark Magician,Intel Core 2 Duo E6320,2 GB,NVIDIA GeForce 7200 GS,3 GB,Windows 7 or later
Gedda Cake,Intel Core i5-4400E,4 GB,AMD Radeon RX 570,10 GB,Windows 10 (64bit)
"Die, AI",Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 510,1 GB,7
Dose Response,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 510,1 GB,Windows 7
The Witchmade Shop,Intel Pentium 4 4.00GHz,1 GB,AMD Radeon R9 280,150 MB,Windows 7 64-bit
Paper Bride,Intel Core 2 Duo E6550,2 GB,NVIDIA GeForce GT 440,1 GB,Windows 7sp1 or Windows 10
Zombie Vegas,Intel Pentium 4 4.00GHz,1 GB,AMD Radeon R9 280,100 MB,Windows 7 64-bit
Ancient Wars: Sparta Definitive Edition,AMD FX-4300,3 GB,AMD Radeon HD 6570,15 GB,Windows 7/8/8.1/10
Tales of Raetrethra - Legends of the Past,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,10 GB,Windows 7/8.1/10
Maguntsche: Chapter Two,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,TBD
Scrapvival,Intel Core 2 Duo Q6867,2 GB,AMD Radeon HD 5450,,Ubuntu 16 (32-bit) or higher
Kuroi Tsubasa,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,3 GB,Windows 7
Pizza Man,Intel Core i3-2340UE,2 GB,Intel Media Accelerator 500,120 MB,Windows
THE BUTTON,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,,10
Bogdanoff vs. Wojak Simulator,Intel Core i5-4400E,4 GB,ATI Radeon HD 5750,200 MB,Windows 7+
Archero,Intel Core i5-6600,8 GB,NVIDIA GeForce GTX 970,6 GB,Windows 7
Dragon Evo,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 7100 / nForce 630i,650 MB,64-bit Windows 7 or above
Time Flipper,Intel Core i5-4400E,8 MB,NVIDIA GeForce GTX 660,,Windows 10 64bit only
Z-Collapse,Intel Pentium 4 2.00GHz,6 GB,ATI FireGL T2-128,2 GB,Windows 64 Bits (Version 7+)
Koala Kids Golf,Intel Core i5-6400,4 GB,NVIDIA GeForce GTX 970,1 GB,Win 7
Rouge Patrol,Intel Atom Z510,512 MB,ATI FireGL T2-128,1.46 GB,Windows Vista+
Grim Tales: Echo of the Past Collector's Edition,Intel Pentium 4 1.80GHz,1 GB,NVIDIA GeForce 510,807 MB,Windows 7/Windows 8/Windows 10
SEARCH ALL - STEAMPUNK,Intel Core 2 Duo Q6867,2 GB,Intel HD 4000,150 MB,"Windows 7, 8, 10, 11"
Blood Nova,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7200 GS,400 MB,Windows 7 (fully patched)
Suber Driver,Intel Core i5-4400E,4 GB,NVIDIA GeForce GTX 1060,2 GB,Windows 10
Do Something,Intel Core i3-8100,6 GB,AMD Radeon R9 280,4 GB,Windows 10
Mago: The Villain's Burger,Intel Core 2 Duo E8700,1 GB,ATI FireGL V7350,500 MB,Windows 7
Gods of Hellas VR,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows 10
GRAND CROSS: ReNOVATION,Intel Pentium 4 4.00GHz,8 GB,ATI FireGL T2-128,350 MB,"Microsoft Windows 7, 8, 8.1, 10"
MASD,Intel Core i5-4430,8 GB,AMD Radeon R7 370,40 GB,"64-bit Windows 7, Windows 8.1, Windows 10"
Te Encontré,AMD Athlon XP 1500,8 GB,AMD Radeon 7000 / Radeon VE Family,2 GB,Windows 10 64 Bits
Neon Bricks,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 7200 GS,300 MB,Windows 7
Winter Dream,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,1 GB,x86/x86_64
First Men´s Life,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce GTX 1660,5 GB,Windows 7/8/10
ARAIGNEES,Intel Core i3-330E,2 GB,Intel HD 520,700 MB,Windows 7
WeWereFriends,Intel Pentium 4 1.50GHz,2 GB,Intel HD 4000,2 GB,windows 10 or Later
Castle in the Sky - Clash of Sky Palace,Intel Core i3-2340UE,512 MB,AMD Radeon HD 6250,600 MB,Windows 7
Wonky Wizard,Intel Core i3-1115G4,8 GB,NVIDIA GeForce GTX 660 Ti,1 GB,Windows 7-10
Jumper,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,71 MB,Windows 10
Temple of Endless Night,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Ubuntu 12.04
Commuter,Intel Pentium 4 2.00GHz,100 MB,ATI FireMV 2400 PCIe,100 MB,"Windows 7, 10, 11"
Homunculus Hotel,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce GTX 260,,Windows 10
Rock Star Manager,Intel Pentium 4 1.50GHz,2 GB,NVIDIA GeForce 510,120 MB,
Solitaire TED and PET,Intel 1500,512 MB,NVIDIA GeForce 510,33 MB,Windows XP SP3 or later
Thanksgiving Day Griddlers,Intel 1500,512 MB,NVIDIA GeForce 510,30 MB,Windows XP SP3 or later
时间之神的猫,Intel Core i3-530,512 MB,ATI FireGL T2-128,500 MB,Windows 10(64-Bit)
Fishing Paradiso,Intel Pentium 4 2.00GHz,2 GB,ATI FireMV 2400 PCIe,150 MB,OS Ubuntu 12.04 LTS
Let's Puzzle,Intel Pentium 4 2.00GHz,666 MB,ATI FireGL T2-128,200 MB,Windows 1900
First Time in Paris,Intel Atom Z510,4 GB,ATI FireGL T2-128,500 MB,"Windows XP SP2, Windows Vista SP1 or Windows 7/8/10 (Windows Update Recommended)"
Astral Space,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 510,1 GB,Windows 7
Outbraking,Intel Core i5-2500K,4 GB,NVIDIA GeForce GTX 970,4 GB,Windows 10
Last Lap Heroes,Intel Core i3-2100,4 GB,AMD Radeon HD 6570,4 GB,Windows 10 - 64 bit
Losted,Intel Core i7-2600K,4 GB,NVIDIA GeForce GTX 1060,10 GB,Windows 10
The van of justice,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,200 MB,Windows 7
Lúcido,Intel Core 2 Quad Q9705,8 GB,NVIDIA GeForce GTX 470,10 GB,Windows 7/8/10 64-bit
Narco Lolita,Intel Core 2 Duo Q6867,1 GB,ATI FireGL V7350,500 MB,Windows XP/Vista/Windows 7/Windows 8/Windows 10
Dirty Fighter: Hollow Point City,Intel Core 2 Duo Q6867,2 GB,ATI FireGL V7350,20 GB,Microsoft® Windows® 7
CYNOROID FORSAKEN,Intel Pentium 4 2.00GHz,8 MB,Intel Media Accelerator 500,48 MB,win7
MISKATONIC,Intel Core i5-4400E,8 GB,NVIDIA GeForce GTX 1080,6 GB,Windows 10
StarFlint the BlackHole Prophecy,Intel Pentium 4 2.00GHz,8 GB,ATI FireGL T2-128,8 GB,64-bit operating system and processor required
Royal Riders,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,2 GB,Windows 7
Guns Undarkness,Intel Core i5-3570,8 GB,AMD Radeon RX 460,20 GB,Windows10
Tied by your Red,Intel Core 2 Duo E8400,500 MB,ATI FireGL T2-128,500 MB,Win7以上
Cult of Mine,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce 510,320 MB,
Giant Worm Rider,Intel Core i3-6100,4 GB,AMD Radeon RX 470,100 MB,Windows 10
Void's Calling ep. 2,Intel Atom Z510,1 GB,NVIDIA GeForce 510,4 GB,"Windows 7, Windows 10"
違う冬のぼくら／BOKURA,Intel Core i5-4400E,2 GB,NVIDIA GeForce 510,,Windows 10
Laugsh！（ラッシュ！）,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 9800 GTX+,9 GB,Windows 7 (64bit)
Twinland,Intel Atom 230,512 MB,Intel Media Accelerator 500,105 MB,Windows 7
GRAVV: Between Two Worlds,Intel Core i3-2340UE,1 GB,ATI FireGL T2-128,100 MB,Windows XP/Vista/7/8/10
Far East Front Line,Intel Core i5-8300H,6 GB,NVIDIA GeForce GTX 950,4 GB,"Windows7,8,10"
The Fall of the Cross,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,1 GB,All Versions
Zeitgeist,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,600 MB,Windows 7
DOOM DAY,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 510,200 MB,Vista
After the first station,Intel Core i5-6200U,8 GB,NVIDIA GeForce GTX 950M,5 GB,Requires a 64-bit processor and operating system 64 bits
Lust for Darkness VR: M Edition,Intel Core i7-4790,8 GB,NVIDIA GeForce GTX 1060,15 GB,Windows 10
Simulated Real Firearms,Intel Core i3-2340UE,1 GB,NVIDIA GeForce 510,200 MB,Windows 7/8/10
Clou - Roll & Heist,Intel Pentium 4 2.00GHz,2 GB,ATI FireMV 2260,300 MB,Ubuntu 18.04+
Base Dune,Intel Core i3-2340UE,4 GB,Intel Media Accelerator 500,,"Windows XP, 7, Vista, 8, 8.1, 10"
Blade Walker,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 7100 / nForce 630i,5 GB,Windows 7
Robo Maestro,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,2 GB,Windows 10
Alien Abduction Experience PC HD,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 970,15 GB,Windows 7 64bit
Symbiotic,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows 7
OtherSoul,Intel Core i5-3470,8 GB,NVIDIA GeForce GTX 1050,4.74 GB,"Windows 7,8,10 64bit"
Mirror fruit,Intel Core i3-2340UE,4 GB,ATI FireGL T2-128,100 MB,window 7/8/10
